1632,1826 v

1827,2036 v
2037,2207 v
3660,3764 v
3811,3832 f
3811,3832 +-+++
6573,6694 v
6695,6820 v
6950,7039 v
#7040,7490 f # fg (lexx) smooth
#7040,7490 +++-+
7040,7490 v # bg smooth, this feels better
7185,7244 f # bg hidden
7185,7244 +++-+
10739,10888 v
11250,11367 v
11518,11661 v
11662,11762 v
11763,11957 v
15057,15187 v
16568,16663 v
16664,16761 v
16995,17176 v
17222,17333 v
34862,35027 v
38388,38593 v
40714,40866 v
41472,41567 v
41568,41625 v

# tdec won't or cannot follow these drops, it will drop a few more, like 42226
# it does a better job automatically
#42201,42230 f
#42201,42205 +-+++
#42206,42210 +-+++
#42211,42215 ++-++
#42216,42220 +++-+
#42221,42225 +++-+
#42226,42230 ++++-
#42231,42235 v
#42231,42235 +++++
#42236,42275 f
#42236,42240 -++++
#42241,42245 -++++
#42246,42250 +-+++
#42251,42255 ++-++
#42256,42260 ++-++
#42261,42265 +++-+
#42266,42270 ++++-
#42271,42275 ++++-
#42276,42280 v
#42276,42280 +++++
#42281,42315 f
#42281,42285 -++++
#42286,42290 +-+++
#42291,42295 ++-++
#42296,42300 ++-++
#42301,42305 +++-+
#42306,42310 ++++-
#42311,42315 ++++-
#42316,42320 v
#42316,42320 +++++
#42321,42355 f
#42321,42325 -++++
#42326,42330 +-+++
#42331,42335 +-+++
#42336,42340 ++-++
#42341,42345 +++-+
#42346,42350 +++-+
#42351,42355 ++++-
#42356,42360 v
#42356,42360 +++++
#42361,42365 f
#42361,42365 -++++

43130,43203 v
43742,43904 v
45836,45888 v
48335,48362 v
52800,52890 v
55766,55899 v
60775,60852 v
66603,66710 v
67395,67471 v
67590,67839 v
68072,68423 v
68597,68737 v
69036,69286 v
69423,69477 v
69758,70116 v
70148,70195 v
70244,70292 v
70364,70499 v
70585,70663 v
70784,70829 v
71288,71393 v
71394,71506 v
71741,72038 v
72238,72358 v
78423,78531 v
79481,79578 v
79748,80033 v
80698,80863 v
81065,81410 v
81757,82018 v
82019,82382 v
82383,82535 v
82829,82910 v
83983,84246 v

84247,85953 v

